Package	Required_version	filename	downloadlink
abc	2.1	abc_2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/abc/abc_2.1.tar.gz
abc.data	1.0	abc.data_1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/abc.data/abc.data_1.0.tar.gz
abind	1.4-5	abind_1.4-5.tar.gz	https://cran.r-project.org/src/contrib/Archive/abind/abind_1.4-5.tar.gz
acepack	1.4.1	acepack_1.4.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/acepack/acepack_1.4.1.tar.gz
actuar	2.3-1	actuar_2.3-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/actuar/actuar_2.3-1.tar.gz
ade4	1.7-10	ade4_1.7-10.tar.gz	https://cran.r-project.org/src/contrib/Archive/ade4/ade4_1.7-10.tar.gz
adegenet	2.1.2	adegenet_2.1.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/adegenet/adegenet_2.1.2.tar.gz
AdMit	2.1.3	AdMit_2.1.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/AdMit/AdMit_2.1.3.tar.gz
AER	1.2-5	AER_1.2-5.tar.gz	https://cran.r-project.org/src/contrib/Archive/AER/AER_1.2-5.tar.gz
agricolae	1.3-1	agricolae_1.3-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/agricolae/agricolae_1.3-1.tar.gz
AlgDesign	1.1-7.3	AlgDesign_1.1-7.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/AlgDesign/AlgDesign_1.1-7.3.tar.gz
alluvial	0.1-2	alluvial_0.1-2.tar.gz	https://cran.r-project.org/src/contrib/Archive/alluvial/alluvial_0.1-2.tar.gz
andrews	1.0	andrews_1.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/andrews/andrews_1.0.tar.gz
anomalize	0.1.1	anomalize_0.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/anomalize/anomalize_0.1.1.tar.gz
anytime	0.3.3	anytime_0.3.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/anytime/anytime_0.3.3.tar.gz
